label,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41
a,0.0,0.0,-0.3769230769230769,-0.1076923076923077,-0.6230769230769231,-0.43846153846153846,-0.6846153846153846,-0.7615384615384615,-0.7615384615384615,-1.0,-0.4461538461538462,-0.7230769230769231,-0.46153846153846156,-0.9538461538461539,-0.38461538461538464,-0.7,-0.33076923076923076,-0.5153846153846153,-0.2076923076923077,-0.7538461538461538,-0.23076923076923078,-0.9769230769230769,-0.19230769230769232,-0.6538461538461539,-0.16923076923076924,-0.49230769230769234,0.03076923076923077,-0.7461538461538462,0.023076923076923078,-0.9769230769230769,0.0,-0.6692307692307692,-0.015384615384615385,-0.49230769230769234,0.26153846153846155,-0.7,0.3,-0.9615384615384616,0.23846153846153847,-0.8076923076923077,0.17692307692307693,-0.6846153846153846
a,0.0,0.0,-0.3875968992248062,-0.12403100775193798,-0.627906976744186,-0.4418604651162791,-0.689922480620155,-0.7596899224806202,-0.7674418604651163,-1.0,-0.4573643410852713,-0.7364341085271318,-0.4883720930232558,-0.9612403100775194,-0.4108527131782946,-0.7286821705426356,-0.3488372093023256,-0.5348837209302325,-0.21705426356589147,-0.7674418604651163,-0.2558139534883721,-0.9922480620155039,-0.21705426356589147,-0.6744186046511628,-0.17829457364341086,-0.5038759689922481,0.015503875968992248,-0.7596899224806202,-0.007751937984496124,-0.9922480620155039,-0.023255813953488372,-0.689922480620155,-0.023255813953488372,-0.5038759689922481,0.26356589147286824,-0.7209302325581395,0.27906976744186046,-0.9844961240310077,0.20930232558139536,-0.8294573643410853,0.16279069767441862,-0.689922480620155
a,0.0,0.0,-0.36923076923076925,-0.12307692307692308,-0.6153846153846154,-0.45384615384615384,-0.6692307692307692,-0.7692307692307693,-0.7538461538461538,-1.0,-0.4307692307692308,-0.7307692307692307,-0.45384615384615384,-0.9538461538461539,-0.38461538461538464,-0.7076923076923077,-0.3230769230769231,-0.5230769230769231,-0.19230769230769232,-0.7615384615384615,-0.2230769230769231,-0.9769230769230769,-0.2,-0.6615384615384615,-0.16153846153846155,-0.5,0.046153846153846156,-0.7461538461538462,0.03076923076923077,-0.9846153846153847,0.0,-0.676923076923077,0.0,-0.49230769230769234,0.2846153846153846,-0.7,0.3153846153846154,-0.9615384615384616,0.23846153846153847,-0.823076923076923,0.18461538461538463,-0.6923076923076923
a,0.0,0.0,-0.3779527559055118,-0.16535433070866143,-0.5984251968503937,-0.48031496062992124,-0.6614173228346457,-0.7559055118110236,-0.7480314960629921,-0.984251968503937,-0.3858267716535433,-0.7952755905511811,-0.5196850393700787,-0.952755905511811,-0.4566929133858268,-0.7165354330708661,-0.3543307086614173,-0.5433070866141733,-0.1732283464566929,-0.8110236220472441,-0.31496062992125984,-0.9763779527559056,-0.2677165354330709,-0.6771653543307087,-0.18110236220472442,-0.5039370078740157,0.05511811023622047,-0.7952755905511811,-0.08661417322834646,-0.9921259842519685,-0.09448818897637795,-0.6850393700787402,-0.031496062992125984,-0.49606299212598426,0.31496062992125984,-0.7480314960629921,0.23622047244094488,-1.0,0.14173228346456693,-0.8503937007874016,0.11023622047244094,-0.7086614173228346
a,0.0,0.0,-0.376,-0.152,-0.6,-0.48,-0.656,-0.76,-0.736,-0.984,-0.392,-0.784,-0.512,-0.952,-0.448,-0.72,-0.36,-0.544,-0.184,-0.8,-0.312,-0.976,-0.264,-0.68,-0.184,-0.512,0.048,-0.792,-0.08,-0.992,-0.096,-0.696,-0.048,-0.504,0.304,-0.744,0.232,-1.0,0.136,-0.856,0.104,-0.712
a,0.0,0.0,-0.31007751937984496,-0.21705426356589147,-0.4806201550387597,-0.5271317829457365,-0.5193798449612403,-0.7751937984496124,-0.6046511627906976,-1.0,-0.27906976744186046,-0.8294573643410853,-0.4573643410852713,-0.9689922480620154,-0.4496124031007752,-0.7441860465116279,-0.37209302325581395,-0.5891472868217055,-0.11627906976744186,-0.8294573643410853,-0.31007751937984496,-0.9689922480620154,-0.3178294573643411,-0.6744186046511628,-0.23255813953488372,-0.5348837209302325,0.06976744186046512,-0.8062015503875969,-0.13178294573643412,-0.9457364341085271,-0.16279069767441862,-0.6589147286821705,-0.07751937984496124,-0.5193798449612403,0.2868217054263566,-0.7441860465116279,0.10852713178294573,-0.9302325581395349,0.03875968992248062,-0.751937984496124,0.08527131782945736,-0.6201550387596899
a,0.0,0.0,-0.2642857142857143,-0.2857142857142857,-0.34285714285714286,-0.5785714285714286,-0.38571428571428573,-0.7928571428571428,-0.45,-1.0,0.03571428571428571,-0.9285714285714286,-0.3357142857142857,-0.9357142857142857,-0.36428571428571427,-0.7071428571428572,-0.2714285714285714,-0.5785714285714286,0.15,-0.9142857142857143,-0.30714285714285716,-0.8857142857142857,-0.32857142857142857,-0.6357142857142857,-0.22857142857142856,-0.5285714285714286,0.22857142857142856,-0.8357142857142857,-0.22142857142857142,-0.8214285714285714,-0.2357142857142857,-0.5928571428571429,-0.1357142857142857,-0.4928571428571429,0.2714285714285714,-0.7071428571428572,-0.07142857142857142,-0.75,-0.12142857142857143,-0.6,-0.05714285714285714,-0.5071428571428571
a,0.0,0.0,0.027777777777777776,-0.2777777777777778,-0.027777777777777776,-0.6041666666666666,-0.125,-0.8472222222222222,-0.11805555555555555,-1.0,0.125,-0.8402777777777778,-0.3194444444444444,-0.9236111111111112,-0.3263888888888889,-0.7708333333333334,-0.20833333333333334,-0.7152777777777778,0.06944444444444445,-0.7986111111111112,-0.4097222222222222,-0.8541666666666666,-0.375,-0.7083333333333334,-0.25,-0.6666666666666666,-0.020833333333333332,-0.7222222222222222,-0.4583333333333333,-0.7777777777777778,-0.4236111111111111,-0.625,-0.2986111111111111,-0.5902777777777778,-0.13194444444444445,-0.6111111111111112,-0.4722222222222222,-0.6597222222222222,-0.4444444444444444,-0.5347222222222222,-0.3402777777777778,-0.4861111111111111
a,0.0,0.0,0.2185430463576159,-0.23841059602649006,0.2582781456953642,-0.5629139072847682,0.17880794701986755,-0.8278145695364238,0.2185430463576159,-1.0,0.17880794701986755,-0.7284768211920529,-0.033112582781456956,-0.9006622516556292,-0.06622516556291391,-0.8145695364238411,-0.026490066225165563,-0.7086092715231788,-0.019867549668874173,-0.6754966887417219,-0.2052980132450331,-0.8278145695364238,-0.23178807947019867,-0.7483443708609272,-0.18543046357615894,-0.6556291390728477,-0.2185430463576159,-0.5960264900662252,-0.3576158940397351,-0.7483443708609272,-0.36423841059602646,-0.6688741721854304,-0.31788079470198677,-0.5695364238410596,-0.4105960264900662,-0.5033112582781457,-0.5165562913907285,-0.6688741721854304,-0.5033112582781457,-0.5827814569536424,-0.45695364238410596,-0.4966887417218543
a,0.0,0.0,0.24666666666666667,-0.23333333333333334,0.31333333333333335,-0.5466666666666666,0.24666666666666667,-0.8266666666666667,0.28,-1.0,0.18666666666666668,-0.7666666666666667,0.0,-0.9066666666666666,0.0,-0.8133333333333334,0.05333333333333334,-0.72,-0.03333333333333333,-0.7133333333333334,-0.17333333333333334,-0.84,-0.17333333333333334,-0.7533333333333333,-0.12666666666666668,-0.6666666666666666,-0.23333333333333334,-0.6266666666666667,-0.3333333333333333,-0.76,-0.31333333333333335,-0.6733333333333333,-0.2733333333333333,-0.58,-0.4266666666666667,-0.5133333333333333,-0.4866666666666667,-0.68,-0.46,-0.5866666666666667,-0.42,-0.5
